example_id,complex_name,path,generated_chain,context_chain
ame:1aof__1__1.B__1.F,1aof__1__1.B__1.F,structures/ame/1aof__1__1.B__1.F.cif,1.B,1.B
ame:1aoq__1__1.A__1.C,1aoq__1__1.A__1.C,structures/ame/1aoq__1__1.A__1.C.cif,1.A,1.A
ame:1au1__1__1.A__1.C,1au1__1__1.A__1.C,structures/ame/1au1__1__1.A__1.C.cif,1.A,1.A
ame:1au1__1__1.B__1.D,1au1__1__1.B__1.D,structures/ame/1au1__1__1.B__1.D.cif,1.B,1.B
ame:1b12__1__1.A__1.E,1b12__1__1.A__1.E,structures/ame/1b12__1__1.A__1.E.cif,1.A,1.A
ame:1b55__1__1.A__1.D,1b55__1__1.A__1.D,structures/ame/1b55__1__1.A__1.D.cif,1.A,1.A
ame:1bg9__1__2.A__2.B,1bg9__1__2.A__2.B,structures/ame/1bg9__1__2.A__2.B.cif,2.A,2.A
ame:1bg9__1__2.A__2.F,1bg9__1__2.A__2.F,structures/ame/1bg9__1__2.A__2.F.cif,2.A,2.A
ame:1c1h__1__1.A__1.C,1c1h__1__1.A__1.C,structures/ame/1c1h__1__1.A__1.C.cif,1.A,1.A
ame:1c41__3__1.D_1.E__1.Y,1c41__3__1.D_1.E__1.Y,structures/ame/1c41__3__1.D_1.E__1.Y.cif,"1.D,1.E","1.D,1.E"
ame:1c9e__1__1.A__1.C,1c9e__1__1.A__1.C,structures/ame/1c9e__1__1.A__1.C.cif,1.A,1.A
ame:1com__3__1.E_1.F__1.R,1com__3__1.E_1.F__1.R,structures/ame/1com__3__1.E_1.F__1.R.cif,"1.E,1.F","1.E,1.F"
ame:1cr5__3__1.C__1.H,1cr5__3__1.C__1.H,structures/ame/1cr5__3__1.C__1.H.cif,1.C,1.C
ame:1cr6__1__1.B__1.D,1cr6__1__1.B__1.D,structures/ame/1cr6__1__1.B__1.D.cif,1.B,1.B
ame:1cv8__1__2.A__2.C,1cv8__1__2.A__2.C,structures/ame/1cv8__1__2.A__2.C.cif,2.A,2.A
ame:1cvi__2__1.A__1.N,1cvi__2__1.A__1.N,structures/ame/1cvi__2__1.A__1.N.cif,1.A,1.A
ame:1cvi__2__1.A__1.O,1cvi__2__1.A__1.O,structures/ame/1cvi__2__1.A__1.O.cif,1.A,1.A
ame:1cvi__2__1.B__1.I,1cvi__2__1.B__1.I,structures/ame/1cvi__2__1.B__1.I.cif,1.B,1.B
ame:1cvi__3__1.C__1.J,1cvi__3__1.C__1.J,structures/ame/1cvi__3__1.C__1.J.cif,1.C,1.C
ame:1cvi__3__1.D__1.L,1cvi__3__1.D__1.L,structures/ame/1cvi__3__1.D__1.L.cif,1.D,1.D
ame:1d0l__1__1.A__1.C,1d0l__1__1.A__1.C,structures/ame/1d0l__1__1.A__1.C.cif,1.A,1.A
ame:1dae__1__1.A_2.A__1.B,1dae__1__1.A_2.A__1.B,structures/ame/1dae__1__1.A_2.A__1.B.cif,"1.A,2.A","1.A,2.A"
ame:1daf__1__1.A_2.A__1.C,1daf__1__1.A_2.A__1.C,structures/ame/1daf__1__1.A_2.A__1.C.cif,"1.A,2.A","1.A,2.A"
ame:1dai__1__1.A_2.A__2.B,1dai__1__1.A_2.A__2.B,structures/ame/1dai__1__1.A_2.A__2.B.cif,"1.A,2.A","1.A,2.A"
ame:1dbg__1__1.A__1.B,1dbg__1__1.A__1.B,structures/ame/1dbg__1__1.A__1.B.cif,1.A,1.A
ame:1dbo__1__1.A__1.B,1dbo__1__1.A__1.B,structures/ame/1dbo__1__1.A__1.B.cif,1.A,1.A
ame:1dbo__1__1.A__1.C,1dbo__1__1.A__1.C,structures/ame/1dbo__1__1.A__1.C.cif,1.A,1.A
ame:1drt__1__1.A__1.B,1drt__1__1.A__1.B,structures/ame/1drt__1__1.A__1.B.cif,1.A,1.A
ame:1dry__1__1.A__1.B,1dry__1__1.A__1.B,structures/ame/1dry__1__1.A__1.B.cif,1.A,1.A
ame:1dy7__1__1.B__1.G,1dy7__1__1.B__1.G,structures/ame/1dy7__1__1.B__1.G.cif,1.B,1.B
ame:1e6u__1__2.A__2.B,1e6u__1__2.A__2.B,structures/ame/1e6u__1__2.A__2.B.cif,2.A,2.A
ame:1e6u__1__2.A__2.C,1e6u__1__2.A__2.C,structures/ame/1e6u__1__2.A__2.C.cif,2.A,2.A
ame:1e7q__1__2.A__2.B,1e7q__1__2.A__2.B,structures/ame/1e7q__1__2.A__2.B.cif,2.A,2.A
ame:1e7q__1__2.A__2.C,1e7q__1__2.A__2.C,structures/ame/1e7q__1__2.A__2.C.cif,2.A,2.A
ame:1e7r__1__1.A__1.B,1e7r__1__1.A__1.B,structures/ame/1e7r__1__1.A__1.B.cif,1.A,1.A
ame:1e7r__1__2.A__2.C,1e7r__1__2.A__2.C,structures/ame/1e7r__1__2.A__2.C.cif,2.A,2.A
ame:1ea0__2__1.B__1.G,1ea0__2__1.B__1.G,structures/ame/1ea0__2__1.B__1.G.cif,1.B,1.B
